,Author,Month<Month Year>,No of commits in that month,Total commits by author
0,Santiago Dueñas,11 2015,23,708
1,Alvaro del Castillo,12 2015,3,45
2,Jesus M. Gonzalez-Barahona,01 2016,3,18
3,Alberto Martín,02 2016,26,51
4,quan,05 2016,3,5
5,Luis Cañas Díaz,09 2016,1,1
6,Valerio Cosentino,09 2017,5,169
7,Miguel Ángel Fernández,02 2018,3,3
8,camillem,03 2016,2,2
9,valerio,10 2017,2,2
10,Israel Herraiz,01 2018,1,1
11,David Esler,11 2017,1,1
12,J. Manrique Lopez de la Fuente,06 2016,1,1
13,Stephan Barth,01 2017,1,1
14,david,12 2017,1,1
